"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"BAT21";"";"BATTERY12MM";"BATTCON_12MM";"Battery Holders";"";"";"";"";"";"BATT-08044";"";
"C1";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";
"R1";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R2";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R3";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"R4";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";
"SJ1";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";"";
"SJ2";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";"";
"SJ3";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";"";
"SJ4";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";"";
"SJ5";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";"";
"U1";"DS3231M+";"DS3231M+";"SOIC127P1032X265-16N";"±5ppm, I2C Real-Time Clock";"";"DS3231M+";"-";"79R7965";"SO-16";"";"Maxim";
"U2";"DS3231MZ+";"DS3231M";"SOIC8";"DS3231M Real Time Clock.  Accuracy +/-5ppm.  Battery Backup.  2.3V to 5.5V.";"";"";"";"";"";"IC-11985";"";
"X1";"SSW-106-02-S-S";"SSW-106-02-S-S";"SSW-106-02-S-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-106-02-S-S";"unknown";"11P9416";"";"";"";
"X2";"SSW-108-02-S-S";"SSW-108-02-S-S";"SSW-108-02-S-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-108-02-S-S";"unknown";"11P9448";"";"";"";
"X3";"SSW-108-02-S-S";"SSW-108-02-S-S";"SSW-108-02-S-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-108-02-S-S";"unknown";"11P9448";"";"";"";
"X4";"SSW-110-02-S-S";"SSW-110-02-S-S";"SSW-110-02-S-S";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-110-02-S-S";"unknown";"11P9482";"";"";"";
"X5";"SSW-103-02-S-D";"SSW-103-02-S-D";"SSW-103-02-S-D";"THROUGH-HOLE .025" SQ POST SOCKET";"";"SSW-103-02-S-D";"unknown";"11P9365";"";"";"";
